14:48:08 apply running, wiring listeners
14:48:08 listeners wired
14:48:22 apply running, wiring listeners
14:48:22 listeners wired
14:48:47 apply running, wiring listeners
14:48:47 listeners wired
14:49:40 session/event: agent/inbox/spliced (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:40 agent/status: running (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:40 session/event: turn/start (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:40 session/event: agent/inbox/spliced (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:44 session/event: step/start (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:44 session/event: user/message (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:44 session/event: request/header (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:45 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:45 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:45 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:46 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
14:49:47 session/event: assistant/chunk (session-2ee9e22c-e02f-4244-984f-56de85a3e067)
